               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.014297,            0.017661,          0.00032217,             0.98664,             0.97794,              0.9935,             0.86545,            0.013561,           0.0050905,          0.00019277,            0.005712,            0.005712,            0.005712
                  99,            0.014438,             0.01862,          0.00027655,             0.98965,             0.97458,             0.99359,             0.86476,            0.013496,           0.0050642,          0.00013703,           0.0056413,           0.0056413,           0.0056413
                 100,            0.014678,            0.019489,             0.00038,             0.98856,             0.97718,             0.99368,             0.86411,            0.013548,           0.0050853,          0.00010753,           0.0055707,           0.0055707,           0.0055707
                 101,            0.014514,            0.018633,           0.0002418,             0.98771,              0.9822,              0.9939,             0.86479,            0.013456,           0.0050722,          0.00010479,              0.0055,              0.0055,              0.0055
                 102,            0.014818,            0.019791,          0.00035876,             0.98597,             0.98075,             0.99366,             0.86642,            0.013397,           0.0050771,          0.00023043,           0.0054293,           0.0054293,           0.0054293
                 103,            0.014838,            0.020547,          0.00026559,             0.98696,             0.97755,             0.99324,             0.86754,            0.013401,           0.0050631,          0.00041173,           0.0053587,           0.0053587,           0.0053587
                 104,            0.014637,            0.019182,          0.00029548,             0.98765,             0.97675,             0.99353,               0.866,            0.013522,           0.0050246,          0.00039278,            0.005288,            0.005288,            0.005288
                 105,            0.014252,            0.017665,          0.00031704,             0.98495,             0.98245,             0.99374,             0.86519,            0.013401,           0.0050229,          0.00028721,           0.0052174,           0.0052174,           0.0052174
                 106,            0.014437,            0.019039,          0.00023754,             0.98878,               0.981,             0.99367,             0.86827,            0.013374,           0.0050351,          0.00035228,           0.0051469,           0.0051469,           0.0051469
                 107,            0.014374,            0.019049,          0.00031693,             0.98726,             0.97218,              0.9935,             0.86798,            0.013599,           0.0050471,          0.00031869,           0.0050765,           0.0050765,           0.0050765
                 108,            0.014321,            0.017802,          0.00026363,             0.98568,             0.97602,             0.99337,             0.86807,            0.013379,           0.0050836,           0.0004161,           0.0050062,           0.0050062,           0.0050062
                 109,            0.014074,             0.01809,          0.00025177,              0.9884,             0.98234,             0.99383,             0.86966,            0.013283,            0.005033,          0.00030545,            0.004936,            0.004936,            0.004936
                 110,            0.014067,            0.018424,          0.00039792,             0.98408,             0.98234,             0.99359,             0.86962,            0.013225,           0.0050478,          0.00029986,           0.0048659,           0.0048659,           0.0048659
                 111,            0.013926,            0.017884,           0.0002115,               0.975,             0.98634,             0.99338,             0.86903,            0.013248,           0.0050646,           0.0002258,            0.004796,            0.004796,            0.004796
                 112,            0.014076,            0.017413,          0.00020628,             0.98789,             0.98083,             0.99371,             0.86959,             0.01312,           0.0050438,          0.00015874,           0.0047263,           0.0047263,           0.0047263
                 113,            0.013873,            0.018762,          0.00020054,             0.98531,             0.97952,             0.99346,             0.87254,            0.013282,           0.0050873,          0.00014032,           0.0046568,           0.0046568,           0.0046568
                 114,            0.013772,            0.018447,          0.00020447,             0.99175,             0.97561,             0.99359,             0.87092,            0.013333,           0.0050592,          0.00024838,           0.0045875,           0.0045875,           0.0045875
                 115,              0.0139,            0.017367,          0.00021567,             0.98718,             0.97806,             0.99361,             0.86966,            0.013299,            0.005064,          0.00034025,           0.0045184,           0.0045184,           0.0045184
                 116,            0.013834,            0.017673,          0.00017952,             0.98766,             0.97684,             0.99345,              0.8696,            0.013376,           0.0050129,          0.00034318,           0.0044495,           0.0044495,           0.0044495
                 117,            0.013963,            0.018001,          0.00023379,             0.98236,             0.98798,             0.99364,             0.86885,            0.013431,           0.0050415,          0.00027628,           0.0043809,           0.0043809,           0.0043809
                 118,            0.013935,            0.018325,          0.00018056,             0.98348,             0.98424,              0.9935,             0.87108,            0.013348,           0.0050737,          0.00015076,           0.0043126,           0.0043126,           0.0043126
                 119,            0.013219,            0.016967,          0.00017571,              0.9888,             0.98226,             0.99378,             0.87149,            0.013274,           0.0049986,          0.00011566,           0.0042445,           0.0042445,           0.0042445
                 120,            0.013833,            0.018527,          0.00019552,             0.98377,             0.98477,             0.99379,             0.87185,            0.013295,           0.0050169,          0.00013904,           0.0041768,           0.0041768,           0.0041768
                 121,            0.013515,            0.017329,          0.00020179,             0.98887,             0.98287,             0.99372,             0.87171,            0.013285,             0.00504,          0.00017456,           0.0041094,           0.0041094,           0.0041094
                 122,            0.013516,            0.018143,          0.00017926,             0.98422,             0.98568,              0.9937,             0.87195,            0.013436,           0.0050696,          0.00019146,           0.0040424,           0.0040424,           0.0040424
